Powder Material,Substrate Material,Beam Radius,P_input (W),v_l (mm/s),Pf_Ts (g/mm),E(j/mm3),Height (um),Depth (um),Width (um),Area (um2),Contact angle,Max Temp,dilution,Meltpool_label
316L,316L,1.4,500,4.23,0.0059,19.20630926,121.41,220.53,810.39,58100,147.4,2349.94,0.64,Undesirable Shape
316L,316L,1.4,500,4.23,0.0071,19.20630926,142.96,243.99,836.94,65200,146.38,2415.41,0.63,Undesirable Shape
316L,316L,1.4,500,4.23,0.0083,19.20630926,163.01,271.87,879.53,72400,144.68,2478.45,0.63,Undesirable Shape
316L,316L,1.4,500,4.23,0.0094,19.20630926,181.97,288.32,909.04,79400,144.81,2538.46,0.61,Undesirable Shape
316L,316L,1.4,500,4.23,0.0106,19.20630926,199.7,304.77,936.84,85900,142.97,2594.89,0.6,Undesirable Shape
316L,316L,1.4,500,4.23,0.0118,19.20630926,216.31,329.93,966.88,92500,141.97,2649.2,0.6,Undesirable Shape
316L,316L,1.4,500,8.46,0.0059,9.603154629,59.14,102.34,516.53,18100,156.67,2045.56,0.63,Undesirable Shape
316L,316L,1.4,500,8.46,0.0071,9.603154629,70.29,120.73,533.79,20200,155.2,2079.81,0.63,Undesirable Shape
316L,316L,1.4,500,8.46,0.0083,9.603154629,79.94,130.02,548.14,22500,151.85,2110.63,0.62,Undesirable Shape
316L,316L,1.4,500,8.46,0.0094,9.603154629,89.23,138.65,559.88,24500,151.79,2140.76,0.61,Undesirable Shape
316L,316L,1.4,500,8.46,0.0106,9.603154629,97.92,150.46,577.68,26600,151.09,2170.17,0.61,Undesirable Shape
316L,316L,1.4,500,8.46,0.0118,9.603154629,105.73,156.9,592.34,28500,148.85,2195.46,0.6,Undesirable Shape
316L,316L,1.4,500,12.69,0.0059,6.402103086,4.05,4.56,122.91,219,169.52,1745.05,0.53,Undesirable Shape
316L,316L,1.4,500,12.69,0.0071,6.402103086,5.27,4.77,122.88,273,172.29,1749.6,0.48,Desirable Shape
316L,316L,1.4,500,12.69,0.0083,6.402103086,6,4.93,123.1,317,171.35,1752.19,0.45,Desirable Shape
316L,316L,1.4,500,12.69,0.0094,6.402103086,6.27,5.11,123,369,171.41,1752.57,0.45,Desirable Shape
316L,316L,1.4,500,12.69,0.0106,6.402103086,6.84,5.31,123.14,421,169.07,1754.38,0.44,Desirable Shape
316L,316L,1.4,500,12.69,0.0118,6.402103086,7.4,5.45,130.48,484,170.07,1756.28,0.42,Desirable Shape
316L,316L,1.4,550,4.23,0.0059,21.12694018,108.5,235.6,903.2,203747,169.1,NaN,0.68,Undesirable Shape
316L,316L,1.4,550,4.23,0.0071,21.12694018,124.5,233.1,1040.9,252964.5,153.5,NaN,0.65,Undesirable Shape
316L,316L,1.4,550,4.23,0.0083,21.12694018,132.4,249.8,972.9,244467.2,161,NaN,0.65,Undesirable Shape
316L,316L,1.4,550,4.23,0.0094,21.12694018,157.7,242,1039.6,274248.6,158.6,NaN,0.61,Undesirable Shape
316L,316L,1.4,550,4.23,0.0106,21.12694018,138.1,204.5,927.4,228620.4,151.1,NaN,0.6,Undesirable Shape
316L,316L,1.4,550,4.23,0.0118,21.12694018,195.2,217.3,1050,321534,143.6,NaN,0.53,Undesirable Shape
316L,316L,1.4,550,4.23,0.013,21.12694018,205.8,197.6,939.8,276483.7,144.5,NaN,0.49,Desirable Shape
316L,316L,1.4,550,4.23,0.0142,21.12694018,188.9,200.5,1040,271810,135.8,NaN,0.51,Undesirable Shape
316L,316L,1.4,550,4.23,0.0154,21.12694018,218.4,223.3,939.8,286715,142.8,NaN,0.51,Undesirable Shape
316L,316L,1.4,550,4.23,0.0165,21.12694018,173.9,190.9,1066.8,285771.1,135.8,NaN,0.52,Undesirable Shape
316L,316L,1.4,550,8.46,0.0059,10.56347009,40.2,142.2,902.4,125146.1,164.8,NaN,0.78,Undesirable Shape
316L,316L,1.4,550,8.46,0.0071,10.56347009,56.5,157.4,843.4,125387.7,159,NaN,0.74,Undesirable Shape
316L,316L,1.4,550,8.46,0.0083,10.56347009,84.7,160.6,812.6,132061.7,162.3,NaN,0.65,Undesirable Shape
316L,316L,1.4,550,8.46,0.0094,10.56347009,82.5,147.6,836.5,125408.5,166.1,NaN,0.64,Undesirable Shape
316L,316L,1.4,550,8.46,0.0106,10.56347009,80.3,142.2,868,143260.7,164.3,NaN,0.64,Undesirable Shape
316L,316L,1.4,550,8.46,0.0118,10.56347009,104.2,97.7,847.2,125158.5,158,NaN,0.48,Desirable Shape
316L,316L,1.4,550,8.46,0.013,10.56347009,140,131.4,862,151044.8,164.4,NaN,0.48,Desirable Shape
316L,316L,1.4,550,8.46,0.0142,10.56347009,133.5,93.3,773.9,123206.7,160.6,NaN,0.41,Desirable Shape
316L,316L,1.4,550,8.46,0.0154,10.56347009,182.3,117.2,806.4,186966.9,119.7,NaN,0.39,Desirable Shape
316L,316L,1.4,550,8.46,0.0165,10.56347009,155.2,66.2,822.3,129970.4,133.6,NaN,0.3,Desirable Shape
316L,316L,1.4,550,12.69,0.0059,7.042313394,83.6,236.7,990.7,221075.6,154.8,NaN,0.74,Undesirable Shape
316L,316L,1.4,550,12.69,0.0071,7.042313394,113.9,217,1003.6,227443.1,161.5,NaN,0.66,Undesirable Shape
316L,316L,1.4,550,12.69,0.0083,7.042313394,162.9,210.6,1005.5,263628.7,146.3,NaN,0.56,Undesirable Shape
316L,316L,1.4,550,12.69,0.0094,7.042313394,187.7,160.6,977.7,242584.7,145,NaN,0.46,Desirable Shape
316L,316L,1.4,550,12.69,0.0106,7.042313394,192,123.7,995.1,229284.2,151.8,NaN,0.39,Desirable Shape
316L,316L,1.4,550,12.69,0.0118,7.042313394,183.4,144.3,992.5,238620,152.8,NaN,0.44,Desirable Shape
316L,316L,1.4,550,12.69,0.013,7.042313394,173.8,155.2,1031.2,259454.4,153.5,NaN,0.47,Desirable Shape
316L,316L,1.4,550,12.69,0.0142,7.042313394,229.1,99.8,1001.1,228048.8,156.1,NaN,0.3,Desirable Shape
316L,316L,1.4,550,12.69,0.0154,7.042313394,259.4,117.2,999.3,274895.2,125,NaN,0.31,Desirable Shape
316L,316L,1.4,550,12.69,0.0165,7.042313394,350.5,92.2,949,327778,110,NaN,0.21,Desirable Shape
316L,316L,1.4,600,4.23,0.0059,23.04757111,150.99,333.94,1076.98,118000,147.04,2761.68,0.69,Undesirable Shape
316L,316L,1.4,600,4.23,0.0071,23.04757111,177.19,358.96,1106.95,129000,146.14,2841.37,0.67,Undesirable Shape
316L,316L,1.4,600,4.23,0.0083,23.04757111,202.1,383.67,1151.91,140000,144.96,2916.19,0.65,Undesirable Shape
316L,316L,1.4,600,4.23,0.0094,23.04757111,225.54,403.54,1179.98,150000,143.37,2989.29,0.64,Undesirable Shape
316L,316L,1.4,600,4.23,0.0106,23.04757111,247.58,438.52,1216.71,160000,143.51,3060.04,0.64,Undesirable Shape
316L,316L,1.4,600,4.23,0.0118,23.04757111,268.48,457.05,1245.6,169000,141.93,3126.96,0.63,Undesirable Shape
316L,316L,1.4,600,8.46,0.0059,11.52378555,110.3,237.02,858.02,66300,155.11,2503.08,0.68,Undesirable Shape
316L,316L,1.4,600,8.46,0.0071,11.52378555,128.96,255.36,885.04,72500,151.89,2562.99,0.66,Undesirable Shape
316L,316L,1.4,600,8.46,0.0083,11.52378555,146.76,272.89,908.35,78600,151.36,2621.99,0.65,Undesirable Shape
316L,316L,1.4,600,8.46,0.0094,11.52378555,163.61,289.06,930.34,84300,147.29,2678.83,0.64,Undesirable Shape
316L,316L,1.4,600,8.46,0.0106,11.52378555,179.33,306.09,959.32,89600,148.34,2733.78,0.63,Undesirable Shape
316L,316L,1.4,600,8.46,0.0118,11.52378555,194.04,321.13,971.77,95000,147.95,2784.49,0.62,Undesirable Shape
316L,316L,1.4,600,12.69,0.0059,7.682523703,77.8,153.3,663.02,32900,157.8,2256.35,0.66,Undesirable Shape
316L,316L,1.4,600,12.69,0.0071,7.682523703,91.12,166.82,678.81,36400,154.17,2302.34,0.65,Undesirable Shape
316L,316L,1.4,600,12.69,0.0083,7.682523703,104.28,179.73,693.12,39600,151.75,2350.31,0.63,Undesirable Shape
316L,316L,1.4,600,12.69,0.0094,7.682523703,114.66,189.53,713.11,42700,150.75,2384.87,0.62,Undesirable Shape
316L,316L,1.4,600,12.69,0.0106,7.682523703,126.32,204.24,729.43,45500,149.7,2428.14,0.62,Undesirable Shape
316L,316L,1.4,600,12.69,0.0118,7.682523703,136.42,213.44,744.75,48400,146.7,2465.07,0.61,Undesirable Shape
316L,316L,1.4,650,4.23,0.0059,24.96820203,191,433.1,1311,567917.8,155.5,NaN,0.69,Undesirable Shape
316L,316L,1.4,650,4.23,0.0071,24.96820203,196.4,408,1270.7,526934.8,144.6,NaN,0.68,Undesirable Shape
316L,316L,1.4,650,4.23,0.0083,24.96820203,199.6,415.6,1296.3,562555.7,143.3,NaN,0.68,Undesirable Shape
316L,316L,1.4,650,4.23,0.0094,24.96820203,218.1,353.7,1231.5,489119.4,143.7,NaN,0.62,Undesirable Shape
316L,316L,1.4,650,4.23,0.0106,24.96820203,320.1,348.3,1313.5,576903.5,140.9,NaN,0.52,Undesirable Shape
316L,316L,1.4,650,4.23,0.0118,24.96820203,284.3,301.6,1203.7,507843,142.1,NaN,0.51,Undesirable Shape
316L,316L,1.4,650,4.23,0.013,24.96820203,291.9,401.2,1295.9,610310,141.4,NaN,0.58,Undesirable Shape
316L,316L,1.4,650,4.23,0.0142,24.96820203,310.3,283.2,1343.9,555860,132.9,NaN,0.48,Desirable Shape
316L,316L,1.4,650,4.23,0.0154,24.96820203,377.6,328.8,1307.1,606618.1,130.2,NaN,0.47,Desirable Shape
316L,316L,1.4,650,4.23,0.0165,24.96820203,403.6,330.9,1242.2,648447.4,118.8,NaN,0.45,Desirable Shape
316L,316L,1.4,650,8.46,0.0059,12.48410102,138.9,348.3,1191.5,398648.4,155.9,NaN,0.71,Undesirable Shape
316L,316L,1.4,650,8.46,0.0071,12.48410102,154.1,355.9,1176.3,385980.8,155.3,NaN,0.7,Undesirable Shape
316L,316L,1.4,650,8.46,0.0083,12.48410102,191,309.2,1189.4,417253.8,137,NaN,0.62,Undesirable Shape
316L,316L,1.4,650,8.46,0.0094,12.48410102,226.3,342.9,1126.9,448683.6,145.6,NaN,0.6,Undesirable Shape
316L,316L,1.4,650,8.46,0.0106,12.48410102,270.1,293.4,1134.9,420592.2,149.7,NaN,0.52,Undesirable Shape
316L,316L,1.4,650,8.46,0.0118,12.48410102,227,329,1183.8,421782.1,145.9,NaN,0.59,Undesirable Shape
316L,316L,1.4,650,8.46,0.013,12.48410102,260.7,289.3,1158.4,449630.9,134.7,NaN,0.53,Undesirable Shape
316L,316L,1.4,650,8.46,0.0142,12.48410102,287,281.5,1064,443205.5,147.9,NaN,0.5,Desirable Shape
316L,316L,1.4,650,8.46,0.0154,12.48410102,332.1,283.3,1126.2,476777.8,119.2,NaN,0.46,Desirable Shape
316L,316L,1.4,650,8.46,0.0165,12.48410102,313.8,298.4,1087.8,484064,134.2,NaN,0.49,Desirable Shape
316L,316L,1.4,650,12.69,0.0059,8.322734011,142.1,239.8,1074.6,286313,152.7,NaN,0.63,Undesirable Shape
316L,316L,1.4,650,12.69,0.0071,8.322734011,120.5,258.2,1024.9,290823.4,155.6,NaN,0.68,Undesirable Shape
316L,316L,1.4,650,12.69,0.0083,8.322734011,149.8,245.2,1016.6,281718.5,154.6,NaN,0.62,Undesirable Shape
316L,316L,1.4,650,12.69,0.0094,8.322734011,178,258.2,1018.5,311249.2,143.8,NaN,0.59,Undesirable Shape
316L,316L,1.4,650,12.69,0.0106,8.322734011,207.3,250.7,1044.1,365907.6,144.8,NaN,0.55,Undesirable Shape
316L,316L,1.4,650,12.69,0.0118,8.322734011,246.4,224.6,1037.8,324079.4,148.8,NaN,0.48,Desirable Shape
316L,316L,1.4,650,12.69,0.013,8.322734011,255,222.6,1095.1,338417.7,155,NaN,0.47,Desirable Shape
316L,316L,1.4,650,12.69,0.0142,8.322734011,240.9,248.5,1055.6,348585.6,126.2,NaN,0.51,Undesirable Shape
316L,316L,1.4,650,12.69,0.0154,8.322734011,268,183.4,1033.9,355073.1,124.7,NaN,0.41,Desirable Shape
316L,316L,1.4,650,12.69,0.0165,8.322734011,262.6,174.7,996.6,322886.1,113,NaN,0.4,Desirable Shape
316L,316L,1.4,700,4.23,0.0059,26.88883296,166.33,418.25,1251.76,175000,149.78,3146.33,0.72,Undesirable Shape
316L,316L,1.4,700,4.23,0.0071,26.88883296,195.06,446.92,1289.35,187000,147.49,3231.49,0.7,Undesirable Shape
316L,316L,1.4,700,4.23,0.0083,26.88883296,222.21,472.18,1325.08,200000,144.91,3314.25,0.68,Undesirable Shape
316L,316L,1.4,700,4.23,0.0094,26.88883296,248.5,503.16,1356.61,212000,144.14,3397.54,0.67,Undesirable Shape
316L,316L,1.4,700,4.23,0.0106,26.88883296,273.03,521.96,1391.47,224000,143.74,3475.99,0.66,Undesirable Shape
316L,316L,1.4,700,4.23,0.0118,26.88883296,296.2,548.38,1423.4,235000,143.94,3550.62,0.65,Undesirable Shape
316L,316L,1.4,700,8.46,0.0059,13.44441648,133.33,326.61,1060.71,113000,151.62,2886.28,0.71,Undesirable Shape
316L,316L,1.4,700,8.46,0.0071,13.44441648,156.41,350.51,1086.12,122000,151.19,2964.19,0.69,Undesirable Shape
316L,316L,1.4,700,8.46,0.0083,13.44441648,178.16,371.32,1109.07,131000,151.21,3036.85,0.68,Undesirable Shape
316L,316L,1.4,700,8.46,0.0094,13.44441648,198.73,392.15,1142.7,139000,149.85,3108.4,0.66,Undesirable Shape
316L,316L,1.4,700,8.46,0.0106,13.44441648,217.89,411.12,1166.89,146000,147.72,3176.93,0.65,Undesirable Shape
316L,316L,1.4,700,8.46,0.0118,13.44441648,235.95,428.11,1187.98,153000,146.56,3242.14,0.64,Undesirable Shape
316L,316L,1.4,700,12.69,0.0059,8.96294432,110.7,245.8,890.03,71600,153.83,2649.71,0.69,Undesirable Shape
316L,316L,1.4,700,12.69,0.0071,8.96294432,129.02,264.11,919.25,77400,154.64,2715.33,0.67,Undesirable Shape
316L,316L,1.4,700,12.69,0.0083,8.96294432,147.4,282.14,932.1,83500,151.63,2782.61,0.66,Undesirable Shape
316L,316L,1.4,700,12.69,0.0094,8.96294432,163.66,297.91,958.4,89000,150.52,2842.89,0.65,Undesirable Shape
316L,316L,1.4,700,12.69,0.0106,8.96294432,179.25,313.13,982,94200,149.84,2902.75,0.64,Undesirable Shape
316L,316L,1.4,700,12.69,0.0118,8.96294432,193.92,327.64,1003.25,99500,148.61,2959.33,0.63,Undesirable Shape
316L,316L,1.4,750,4.23,0.0059,28.80946389,274.5,514.3,1342.8,759697.4,136.1,NaN,0.65,Undesirable Shape
316L,316L,1.4,750,4.23,0.0071,28.80946389,263.7,501.3,1378.4,757539.1,147.1,NaN,0.66,Undesirable Shape
316L,316L,1.4,750,4.23,0.0083,28.80946389,278.9,515.4,1455.2,824867.1,144.2,NaN,0.65,Undesirable Shape
316L,316L,1.4,750,4.23,0.0094,28.80946389,337.4,488.3,1405.5,815577.6,135.4,NaN,0.59,Undesirable Shape
316L,316L,1.4,750,4.23,0.0106,28.80946389,363.5,470.9,1400,832680.9,129.3,NaN,0.56,Undesirable Shape
316L,316L,1.4,750,4.23,0.0118,28.80946389,393.9,401.5,1390.4,782348.9,129.4,NaN,0.5,Desirable Shape
316L,316L,1.4,750,4.23,0.013,28.80946389,408,453.5,1426,854895.1,139.3,NaN,0.53,Undesirable Shape
316L,316L,1.4,750,4.23,0.0142,28.80946389,396,527.3,1540.5,1005835.9,130.5,NaN,0.57,Undesirable Shape
316L,316L,1.4,750,4.23,0.0154,28.80946389,431.8,472,1454.1,986740.9,118,NaN,0.52,Undesirable Shape
316L,316L,1.4,750,4.23,0.0165,28.80946389,495.8,449.2,1407.6,990878.4,140.4,NaN,0.48,Desirable Shape
316L,316L,1.4,750,8.46,0.0059,14.40473194,175.8,394.9,1192.5,448633.1,151.3,NaN,0.69,Undesirable Shape
316L,316L,1.4,750,8.46,0.0071,14.40473194,176.9,375.4,1175.2,421962.4,158,NaN,0.68,Undesirable Shape
316L,316L,1.4,750,8.46,0.0083,14.40473194,194.2,337.6,1182.8,456004.7,131,NaN,0.63,Undesirable Shape
316L,316L,1.4,750,8.46,0.0094,14.40473194,217,351.5,1169.8,431281.1,141.5,NaN,0.62,Undesirable Shape
316L,316L,1.4,750,8.46,0.0106,14.40473194,223.5,343.9,1159,451898.7,127.3,NaN,0.61,Undesirable Shape
316L,316L,1.4,750,8.46,0.0118,14.40473194,215.9,270.2,1154.6,378361.5,158.5,NaN,0.56,Undesirable Shape
316L,316L,1.4,750,8.46,0.013,14.40473194,299.5,285.4,1136.4,467197.5,121.6,NaN,0.49,Desirable Shape
316L,316L,1.4,750,8.46,0.0142,14.40473194,299.5,331,1118.9,451169.6,133.3,NaN,0.52,Undesirable Shape
316L,316L,1.4,750,8.46,0.0154,14.40473194,358.1,290.8,1069.2,504112.1,109.9,NaN,0.45,Desirable Shape
316L,316L,1.4,750,8.46,0.0165,14.40473194,320.1,243,1115.8,441303.9,131.2,NaN,0.43,Desirable Shape
316L,316L,1.4,750,12.69,0.0059,9.603154629,222.4,440.5,1308.3,596413.7,147.3,NaN,0.66,Undesirable Shape
316L,316L,1.4,750,12.69,0.0071,9.603154629,204,452.4,1219.6,519081,141.8,NaN,0.69,Undesirable Shape
316L,316L,1.4,750,12.69,0.0083,9.603154629,209.4,379.8,1285.6,520381.8,141.1,NaN,0.64,Undesirable Shape
316L,316L,1.4,750,12.69,0.0094,9.603154629,223.5,397.1,1200.3,526215.1,156.9,NaN,0.64,Undesirable Shape
316L,316L,1.4,750,12.69,0.0106,9.603154629,261.5,378.7,1246.8,545327.8,149.1,NaN,0.59,Undesirable Shape
316L,316L,1.4,750,12.69,0.0118,9.603154629,270.2,391.8,1185.4,554593.9,132.5,NaN,0.59,Undesirable Shape
316L,316L,1.4,750,12.69,0.013,9.603154629,327.7,392.8,1262.8,623210.9,140.4,NaN,0.55,Undesirable Shape
316L,316L,1.4,750,12.69,0.0142,9.603154629,324.4,363.5,1176.6,568338.9,137.5,NaN,0.53,Undesirable Shape
316L,316L,1.4,750,12.69,0.0154,9.603154629,359.1,386.3,1269.8,681629.8,155.3,NaN,0.52,Undesirable Shape
316L,316L,1.4,750,12.69,0.0165,9.603154629,401.5,339.7,1131.2,649565.2,129.6,NaN,0.46,Desirable Shape
316L,316L,1.4,800,4.23,0.0059,30.73009481,176.57,494.66,1380.75,227000,147.65,3511.41,0.74,Undesirable Shape
316L,316L,1.4,800,4.23,0.0071,30.73009481,207.38,514.44,1417.66,241000,149.56,3605.66,0.71,Undesirable Shape
316L,316L,1.4,800,4.23,0.0083,30.73009481,236.81,545.17,1454,256000,145.45,3698.6,0.7,Undesirable Shape
316L,316L,1.4,800,4.23,0.0094,30.73009481,263.74,571.39,1485.15,269000,146.97,3784.57,0.68,Undesirable Shape
316L,316L,1.4,800,4.23,0.0106,30.73009481,290.09,598.25,1522.86,282000,143.87,3867.3,0.67,Undesirable Shape
316L,316L,1.4,800,4.23,0.0118,30.73009481,314.85,622.95,1553.81,294000,145.2,3947.08,0.66,Undesirable Shape
316L,316L,1.4,800,8.46,0.0059,15.36504741,146.88,396.45,1203.07,158000,156.08,3248.18,0.73,Undesirable Shape
316L,316L,1.4,800,8.46,0.0071,15.36504741,172.31,422.59,1226.92,168000,152.43,3332.36,0.71,Undesirable Shape
316L,316L,1.4,800,8.46,0.0083,15.36504741,196.1,446.42,1260.85,178000,152.06,3413.17,0.69,Undesirable Shape
316L,316L,1.4,800,8.46,0.0094,15.36504741,218.86,469.54,1286.19,188000,150.44,3493.85,0.68,Undesirable Shape
316L,316L,1.4,800,8.46,0.0106,15.36504741,240.01,490.46,1308.55,197000,149.85,3570.36,0.67,Undesirable Shape
316L,316L,1.4,800,8.46,0.0118,15.36504741,259.83,500.98,1336.63,206000,148.7,3642.84,0.66,Undesirable Shape
316L,316L,1.4,800,12.69,0.0059,10.24336494,129.06,315.46,1042.87,109000,155.02,3003.97,0.71,Undesirable Shape
316L,316L,1.4,800,12.69,0.0071,10.24336494,151.18,337.41,1070.5,117000,154.83,3084.72,0.69,Undesirable Shape
316L,316L,1.4,800,12.69,0.0083,10.24336494,172.11,358.45,1096.68,124000,152.5,3163.5,0.68,Undesirable Shape
316L,316L,1.4,800,12.69,0.0094,10.24336494,191.84,377.94,1118.83,132000,150.85,3240.51,0.66,Undesirable Shape
316L,316L,1.4,800,12.69,0.0106,10.24336494,210.31,396.34,1139.32,138000,150.08,3314.62,0.65,Undesirable Shape
316L,316L,1.4,800,12.69,0.0118,10.24336494,227.47,413.58,1166.11,145000,148.69,3382.14,0.65,Undesirable Shape
316L,316L,1.4,850,4.23,0.0059,32.65072574,180.51,522.31,1438.29,251000,149.96,3687.65,0.74,Undesirable Shape
316L,316L,1.4,850,4.23,0.0071,32.65072574,211.71,541.01,1468.3,267000,149.89,3785.19,0.72,Undesirable Shape
316L,316L,1.4,850,4.23,0.0083,32.65072574,241.84,573.57,1503.6,282000,149.13,3882.57,0.7,Undesirable Shape
